"country.name","country.code","total.ghg.emissions.mio.tonnes","ghg.emissions.per.capita.tonnes","total_eu28_ghg_tonnes_share","total_eu28_ghg_tonnes_rank"
"Austria","AT",79.6,9.4,1.8,12
"Belgium","BE",115.8,10.8,2.7,9
"Bulgaria","BG",59.1,8.4,1.4,16
"Croatia","HR",24.4,5.9,0.6,22
"Cyprus","CY",8.7,11.3,0.2,28
"Czechia","CZ",129.8,12.4,3,8
"Denmark","DK",49.9,9.3,1.2,20
"Estonia","EE",19.7,15,0.5,24
"Finland","FI",58,11.1,1.3,17
"France","FR",460.6,7.1,10.7,3
"Germany","DE",911,11.4,21.2,1
"Greece","GR",91.7,8.8,2.1,11
"Hungary","HU",61.1,6.3,1.4,15
"Ireland","IE",61.3,13.5,1.4,14
"Italy","IT",432.1,7.2,10,4
"Latvia","LV",11.3,6,0.3,26
"Liechtenstein","LI",0.2,5,0,30
"Lithuania","LT",20.2,7.1,0.5,23
"Luxembourg","LU",10.1,19.8,0.2,27
"Malta","MT",1.9,5,0,29
"Netherlands","NL",195.4,12.2,4.5,7
"Norway","NO",53.6,10.5,1.2,18
"Poland","PL",399.1,10.5,9.3,5
"Portugal","PT",65.9,6.9,1.5,13
"Romania","RO",114.3,5.8,2.7,10
"Slovakia","SK",42.2,7.6,1,21
"Slovenia","SI",17.7,8.6,0.4,25
"Spain","ES",326.4,7.3,7.6,6
"Sweden","SE",52.9,5.6,1.2,19
"United Kingdom","UK",483.3,7.9,11.2,2
"EU28","EU28",4303.4,8.7,100,0
"Iceland","IS",4.6,16.7,0.1,0
"Switzerland","CH",48.2,6.4,1.1,0
"Turkey","TR",498.5,6.4,11.6,0
